match_year,match_id,map_name,map_winner,winning_team_final_map_score,winning_team_win_rate,map_loser,losing_team_final_map_score,losing_team_win_rate
2018,10223,Dorado,Los Angeles Valiant,3,0.6,San Francisco Shock,2,0.4
2018,10223,Temple of Anubis,Los Angeles Valiant,4,0.571428571,San Francisco Shock,3,0.428571429
2018,10223,Ilios,Los Angeles Valiant,2,0.666666667,San Francisco Shock,1,0.333333333
