match_year,match_id,map_name,map_winner,winning_team_final_map_score,winning_team_win_rate,map_loser,losing_team_final_map_score,losing_team_win_rate
2021,37249,Lijiang Tower,Hangzhou Spark,2,0.6666666666666666,Philadelphia Fusion,1,0.33333333333333337
2021,37249,Watchpoint: Gibraltar,Philadelphia Fusion,3,0.6,Hangzhou Spark,2,0.4
2021,37249,Hanamura,Philadelphia Fusion,2,0.6666666666666666,Hangzhou Spark,1,0.33333333333333337
2021,37249,Eichenwalde,Philadelphia Fusion,2,0.6666666666666666,Hangzhou Spark,1,0.33333333333333337
2021,37224,Nepal,Houston Outlaws,2,1.0,Paris Eternal,0,0.0
2021,37224,Havana,Paris Eternal,5,0.5555555555555556,Houston Outlaws,4,0.4444444444444444
2021,37224,Volskaya Industries,Houston Outlaws,3,0.6,Paris Eternal,2,0.4
2021,37224,King's Row,Houston Outlaws,4,0.5714285714285714,Paris Eternal,3,0.4285714285714286
2021,37223,Oasis,Los Angeles Gladiators,2,0.6666666666666666,Boston Uprising,1,0.33333333333333337
2021,37223,Watchpoint: Gibraltar,Los Angeles Gladiators,3,0.6,Boston Uprising,2,0.4
2021,37223,Hanamura,Los Angeles Gladiators,2,0.6666666666666666,Boston Uprising,1,0.33333333333333337
2021,37222,Ilios,Washington Justice,2,1.0,Dallas Fuel,0,0.0
2021,37222,Watchpoint: Gibraltar,Dallas Fuel,5,0.5555555555555556,Washington Justice,4,0.4444444444444444
2021,37222,Hanamura,Washington Justice,2,0.6666666666666666,Dallas Fuel,1,0.33333333333333337
2021,37222,Eichenwalde,Washington Justice,4,0.5714285714285714,Dallas Fuel,3,0.4285714285714286
2021,37248,Busan,New York Excelsior,2,0.6666666666666666,Hangzhou Spark,1,0.33333333333333337
2021,37248,Havana,New York Excelsior,3,0.6,Hangzhou Spark,2,0.4
2021,37248,Volskaya Industries,Hangzhou Spark,2,1.0,New York Excelsior,0,0.0
2021,37248,King's Row,New York Excelsior,3,0.75,Hangzhou Spark,1,0.25
2021,37247,Ilios,Philadelphia Fusion,2,0.6666666666666666,Chengdu Hunters,1,0.33333333333333337
2021,37247,Havana,Philadelphia Fusion,1,1.0,Chengdu Hunters,0,0.0
2021,37247,Volskaya Industries,Chengdu Hunters,3,0.6,Philadelphia Fusion,2,0.4
2021,37247,King's Row,Philadelphia Fusion,3,0.6,Chengdu Hunters,2,0.4
2021,37221,Oasis,Houston Outlaws,2,1.0,London Spitfire,0,0.0
2021,37221,Watchpoint: Gibraltar,Houston Outlaws,2,0.6666666666666666,London Spitfire,1,0.33333333333333337
2021,37221,Hanamura,Houston Outlaws,2,0.6666666666666666,London Spitfire,1,0.33333333333333337
2021,37220,Nepal,Dallas Fuel,2,1.0,Boston Uprising,0,0.0
2021,37220,Havana,Dallas Fuel,2,0.6666666666666666,Boston Uprising,1,0.33333333333333337
2021,37220,Volskaya Industries,Dallas Fuel,4,0.5714285714285714,Boston Uprising,3,0.4285714285714286
2021,37219,Lijiang Tower,Washington Justice,2,1.0,Vancouver Titans,0,0.0
2021,37219,Dorado,Washington Justice,3,0.75,Vancouver Titans,1,0.25
2021,37219,Temple of Anubis,Vancouver Titans,3,0.6,Washington Justice,2,0.4
2021,37219,Blizzard World,Washington Justice,1,1.0,Vancouver Titans,0,0.0
2021,37218,Busan,Atlanta Reign,2,0.6666666666666666,Paris Eternal,1,0.33333333333333337
2021,37218,Hanamura,Atlanta Reign,3,0.6,Paris Eternal,2,0.4
2021,37218,Eichenwalde,Atlanta Reign,3,0.6,Paris Eternal,2,0.4
2021,37217,Busan,Washington Justice,2,0.6666666666666666,Boston Uprising,1,0.33333333333333337
2021,37217,Volskaya Industries,Washington Justice,3,0.6,Boston Uprising,2,0.4
2021,37217,King's Row,Boston Uprising,2,0.6666666666666666,Washington Justice,1,0.33333333333333337
2021,37217,Havana,Washington Justice,3,0.6,Boston Uprising,2,0.4
2021,37246,Ilios,Guangzhou Charge,2,0.6666666666666666,Los Angeles Valiant,1,0.33333333333333337
2021,37246,Hanamura,Guangzhou Charge,1,1.0,Los Angeles Valiant,0,0.0
2021,37246,Eichenwalde,Guangzhou Charge,2,0.6666666666666666,Los Angeles Valiant,1,0.33333333333333337
2021,37245,Lijiang Tower,Seoul Dynasty,2,1.0,New York Excelsior,0,0.0
2021,37245,Hanamura,Seoul Dynasty,2,0.6666666666666666,New York Excelsior,1,0.33333333333333337
2021,37245,Eichenwalde,Seoul Dynasty,3,0.6,New York Excelsior,2,0.4
2021,37244,Nepal,Shanghai Dragons,2,1.0,Hangzhou Spark,0,0.0
2021,37244,Volskaya Industries,Hangzhou Spark,4,0.6666666666666666,Shanghai Dragons,2,0.33333333333333337
2021,37244,King's Row,Hangzhou Spark,3,1.0,Shanghai Dragons,0,0.0
2021,37244,Havana,Shanghai Dragons,1,1.0,Hangzhou Spark,0,0.0
2021,37244,Busan,Shanghai Dragons,2,1.0,Hangzhou Spark,0,0.0
2021,37216,Ilios,Boston Uprising,2,0.6666666666666666,London Spitfire,1,0.33333333333333337
2021,37216,Temple of Anubis,London Spitfire,2,0.6666666666666666,Boston Uprising,1,0.33333333333333337
2021,37216,Blizzard World,Boston Uprising,3,0.6,London Spitfire,2,0.4
2021,37216,Dorado,London Spitfire,1,1.0,Boston Uprising,0,0.0
2021,37216,Lijiang Tower,Boston Uprising,2,0.6666666666666666,London Spitfire,1,0.33333333333333337
2021,37215,Busan,San Francisco Shock,2,1.0,Florida Mayhem,0,0.0
2021,37215,Hanamura,San Francisco Shock,2,0.6666666666666666,Florida Mayhem,1,0.33333333333333337
2021,37215,Eichenwalde,San Francisco Shock,3,0.6,Florida Mayhem,2,0.4
2021,37214,Oasis,Washington Justice,2,1.0,Toronto Defiant,0,0.0
2021,37214,Temple of Anubis,Washington Justice,2,1.0,Toronto Defiant,0,0.0
2021,37214,Blizzard World,Washington Justice,1,1.0,Toronto Defiant,0,0.0
2021,37243,Nepal,Seoul Dynasty,2,1.0,Los Angeles Valiant,0,0.0
2021,37243,Temple of Anubis,Seoul Dynasty,2,0.6666666666666666,Los Angeles Valiant,1,0.33333333333333337
